Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.4,-91.09,90.0,top
C10,47u,C_Elec_6.3x5.8,143.7,-86.9375,90.0,top
C11,0.33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.05,-100.2,0.0,top
C2,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,162.4,-103.675,90.0,bottom
C3,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.7,-85.775,90.0,top
C4,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.3,-121.35,-90.0,top
C5,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.4,-124.1,90.0,top
C6,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,137.85,-77.225,90.0,top
C7,47u,C_Elec_6.3x5.8,143.55,-76.8,90.0,top
C8,0.33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,134.925,-86.85,0.0,top
C9,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.9,-92.25,-90.0,top
D1,LED,LED_0603_1608Metric,172.7125,-120.1,0.0,bottom
D2,LED,LED_0603_1608Metric,172.5,-118.5,180.0,top
D3,~,D_1206_3216Metric,137.15,-82.3,90.0,top
D4,~,D_1206_3216Metric,137.05,-95.6,90.0,top
D5,LED,LED_0603_1608Metric,165.4,-75.2125,-90.0,top
